accession,sample-name,longitude,latitude,geo-loc-name,studies,biome
ERS089005,Arctic seawater sample collected on 10 March 2008,-123.9109,71.0386,Arctic Ocean,MGYS00000297,root:Environmental:Aquatic:Marine
ERS1451501,North Sea - 1N,11.9099,78.9235,North Sea,MGYS00001316,root:Environmental:Aquatic:Marine
ERS1568962,KD006_S11_87,-176.7614,88.4072,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568963,KD008_S1_4,-176.7614,88.4072,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568964,KD010_S2_6,-176.7614,88.4072,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568965,KD017_S12_85B,-89.2525,89.9903,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568966,KD028_S10_83,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568967,KD029_S10_82,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568968,KD030_S9_81,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568969,KD031_S8_80,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568970,KD032_S7_79,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568971,"Arctic sea ice metagenome, 1.5 m",-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568972,KD033_S9_78,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568973,KD034_S6_77,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568974,KD035_S5_76,-148.8943,87.772,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568975,KD038_S7_74,-150.6091,85.723,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568976,KD039_S4_73,-150.6091,85.723,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568977,KD041_S6_71,-150.6091,85.723,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568978,KD043_S3_69,-150.6091,85.723,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568979,"Arctic sea ice metagenome, 1.435 m",-150.6091,85.723,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568980,KD054_S1_66,-149.9723,85.1603,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568981,KD059_S4_61,-149.9723,85.1603,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568982,"Arctic sea ice metagenome, 0.3 m",-149.9723,85.1603,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568983,KD087_S6_18,-149.7905,82.5038,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568984,"Arctic sea ice metagenome, 0.1 m",-149.7905,82.5039,Arctic Ocean,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1568985,KD102_S2_52,-147.8711,77.4476,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568986,KD150_S12_31,-162.496,71.9966,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568987,KD013_S3_8,-89.2525,89.9903,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568988,KD014_S4_9,-89.2525,89.9903,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568989,KD014_S1_9,-89.2525,89.9903,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568990,KD036_S5_17,-150.6091,85.723,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568991,KD053_S2_67,-149.9723,85.1603,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
